"cancer","endpoint","score","n","events","HR_per_SD","CI_low","CI_high","p_cox","padj_by_endpoint_score"
"BLCA","OS","MDR_resolution",429,192,1.15204861277961,0.99349221208249,1.33590982401907,0.060993709684695,0.24397483873878
"ACC","DSS","MDR_injury",75,25,1.4697956764872,0.981774445324648,2.20040289387051,0.0613974742733243,0.112562036167761
"COAD","PFI","MDR_injury",331,101,1.20847005313419,0.990231157874518,1.47480702632791,0.0624115648548263,0.180993538078996
"THCA","DFI","MDR_axis",404,31,1.44481911742712,0.980319666470163,2.12940977671023,0.0629531337491522,0.251812534996609
"MESO","DSS","MDR_injury",65,43,1.34824405322548,0.977323931152049,1.85993811173245,0.0687229941406011,0.116300451622556
"ACC","DSS","MDR_axis",75,25,1.48426995365699,0.969867342165736,2.27150374030479,0.0689057503720757,0.189490813523208
"ESCA","DFI","MDR_resolution",96,23,1.42962577200004,0.971759683781057,2.10322560410645,0.0695963363192751,0.5518146159004
"OV","DFI","MDR_apc_ifn",210,149,0.864737206116449,0.73858225096547,1.0124402998645,0.0708718485151835,0.236239495050612
"LIHC","PFI","MDR_apc_ifn",423,212,0.874431726143673,0.755514717678913,1.01206611306752,0.071995638322379,0.204023594719061
"KIRC","OS","MDR_resolution",932,333,0.908815528624412,0.817003190286947,1.01094545882836,0.0784717625571139,0.269046043052962
"ACC","PFI","MDR_apc_ifn",77,40,0.749053413502181,0.541760225637444,1.03566299209044,0.0804678355925409,0.204023594719061
"MESO","PFI","MDR_apc_ifn",83,59,0.789174440718274,0.604003205298016,1.03111422658049,0.0826720314469776,0.204023594719061
"BLCA","DFI","MDR_resolution",192,31,0.719194176478658,0.495580444840039,1.04370595907546,0.0827721923850601,0.5518146159004
"PAAD","PFI","MDR_apc_ifn",182,107,1.19209202611037,0.976415703197891,1.45540817713367,0.0844235564354737,0.204023594719061
"MESO","DSS","MDR_apc_ifn",65,43,0.74913361230863,0.538657413720915,1.0418517499164,0.0861006677050021,0.220429635660608
"THCA","OS","MDR_axis",576,20,1.59340176725576,0.935951897602895,2.71267059599574,0.0861373790759185,0.229699677535783
"OV","DSS","MDR_apc_ifn",395,229,0.891704638889968,0.780984827250554,1.01812114047997,0.0901757600429758,0.220429635660608
"KIRC","PFI","MDR_resolution",928,298,0.909707500552657,0.814824817754534,1.01563884473026,0.0922113907866106,0.445688388801951
"OV","OS","MDR_apc_ifn",425,267,0.901186292329618,0.797706340667726,1.01808985597758,0.0945489009107008,0.226917362185682
"PRAD","PFI","MDR_apc_ifn",563,95,1.19016618701216,0.96600685334865,1.46634110078702,0.102020394189912,0.227583956269804
